Project Number,Legacy Project Number,City,County,State,Zip Code,Sector,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production,Georeference
2480,292,Bellport,,NY,11713,Non-Residential,Long Island Power Authority,,10/28/2011,10/28/2011,Complete,,SMA America,SB8000US (240V),1,SOLON,SOLON Black 235,39,,,9.17,11696,POINT (-72.944839 40.777628)
2522,1164,Bloomfield,,NY,14469,Non-Residential,NYS Electric and Gas,,01/06/2012,01/06/2012,Complete,,SMA America,SB8000US (240V),4,Sharp,ND-224QCJ,144,,,32.26,36199,POINT (-77.466164 42.875691)
2358,17944-19,Harrison,,NY,10528,Residential,Consolidated Edison,,01/19/2011,01/19/2011,Complete,Alteris Renewables,SunPower,SPR-6000m (240V),2,SunPower,SPR-230-WHT-U,54,,,12.42,13290,POINT (-73.72029 40.976412)
274,01001-00016,Highland,Ulster,NY,12528,Non-Residential,,,08/02/2003,09/13/2004,Complete,"Solar Works, Inc.",SMA America,SWR2500U (240V),1,GE Energy,GEPVp-100-M,20,,,2,,POINT (-73.991662 41.730554)
83978,,Homer,Cortland,NY,13077,Residential,National Grid,Purchase,04/19/2017,11/17/2017,Complete,Sungevity Inc,SolarEdge Technologies Ltd.,SE10000A-US (240V),1,Trina Solar,TSM-285DD05A.05(II),42,34789,,11.97,14735,POINT (-76.197251 42.700003)
277,01001-00019,Jamesville,Onondaga,NY,13078,Non-Residential,,,08/02/2003,09/12/2003,Complete,"Solar Works, Inc.",Fronius USA,IG 2500-LV POS,1,GE Energy,GEPVp-100-M,20,,,2,,POINT (-76.069719 42.976691)
255818,,Manorville,Suffolk,NY,11949,Residential,Long Island Power Authority,Purchase,10/14/2020,,Pipeline,,SunPower,SPR-E20-327-E-AC [240V],41,Sunpower,SPR-E20-327-E-AC,41,39642,,13.41,14976,POINT (-72.789301 40.85473)
295,01001-00036,Rye,Westchester,NY,10580,Non-Residential,,,08/03/2003,10/29/2004,Complete,"Solar Works, Inc.",Fronius USA,IG 2500-LV,1,BP Solar,BP3125S,16,,,2,,POINT (-73.692374 40.978288)
2453,376,Youngstown,,NY,14174,Non-Residential,National Grid,,07/31/2012,07/31/2012,Complete,,SMA America,SB7000US (240V),5,MX Solar USA,MX60-240,156,,,37.44,41100,POINT (-79.015825 43.247901)
218852,,Queens,Queens,NY,11356,Residential,Consolidated Edison,Purchase,10/29/2019,11/08/2019,Complete,Venture Home Solar LLC,SunPower,SPR-X20-250-BLK-B-AC [208V],4,Sunpower,SPR-X20-250-BLK-B-AC,4,3800,300,1,1136,POINT (-73.843534 40.785519)
220037,,Warwick,Orange,NY,10990,Residential,Orange and Rockland Utilities,Lease,11/15/2019,01/28/2020,Complete,SunRun Inc.,Delta Electronics,M4-TL-US [240V],1,REC Solar,REC290TP2 BLK,10,8236,497,2.9,1771,POINT (-74.365461 41.263165)
80717,,Mexico,Oswego,NY,13114,Residential,National Grid,Purchase,02/24/2017,04/04/2017,Complete,"Apex Solar Power, LLC",SolarEdge Technologies,SE3000 (240V) w/ -ER-US or A-US,1,Trina Solar,TSM-275DD05A.08(II),9,9963,505,2.48,1599,POINT (-76.240968 43.466852)
292618,,Queens,Queens,NY,11420,Residential,Consolidated Edison,Lease,02/18/2021,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],13,JA Solar,JAM60S10-340/MR,13,9416,583,4.42,3949,POINT (-73.815675 40.673382)
258156,,Lackawanna,Erie,NY,14218,Non-Residential,National Grid,Purchase,11/10/2020,12/28/2020,Complete,CIR Electrical Construction Corp.,Enphase Energy Inc.,IQ7X-96-x-ACM-US [240V],5,LG Electronics Inc.,LG345N1C-V5,5,4920,604,1.73,1767,POINT (-78.818268 42.818699)
264459,,Bronx,Bronx,NY,10452,Residential,Consolidated Edison,Purchase,09/24/2020,,Pipeline,,Enphase Energy Inc.,IQ7-60-x-US [208V],10,Canadian Solar Inc.,CS6K-305MS,10,34480,610,3.05,3934,POINT (-73.922403 40.83833)
266801,,Staten Island,Richmond,NY,10314,Residential,Consolidated Edison,Purchase,10/09/2020,11/11/2020,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],9,LG Electronics Inc.,LG345N1C-V5,9,12621,621,3.11,3732,POINT (-74.152798 40.604049)
289050,,Staten Island,Richmond,NY,10301,Residential,Consolidated Edison,Purchase,02/09/2021,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],14,JA Solar,JAM60S10-340/MR,14,23035.38,628,4.76,4255,POINT (-74.094327 40.628276)
289167,,Bronx,Bronx,NY,10461,Residential,Consolidated Edison,Purchase,01/30/2021,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],9,LG Electronics Inc.,LG350N1C-V5,9,14175,630,3.15,3621,POINT (-73.840311 40.846823)
110732,,Peekskill,Westchester,NY,10566,Residential,Consolidated Edison,Purchase,01/31/2018,04/26/2018,Complete,EmPower Solar,SunPower,SPR-X22-360-C-AC (208V),8,SunPower,SPR-X22-360-C-AC,8,12013,645,2.88,2120,POINT (-73.917154 41.289818)
282450,,Brooklyn,Kings,NY,11203,Residential,Consolidated Edison,Purchase,01/06/2021,,Pipeline,,Enphase Energy Inc.,IQ7-60-x-US [208V],10,LG Electronics Inc.,LG340N1C-V5,10,15470,680,3.4,4234,POINT (-73.933487 40.649707)
234125,,Staten Island,Richmond,NY,10308,Residential,Consolidated Edison,Lease,02/27/2020,03/18/2020,Complete,SunRun Inc.,Delta Electronics,M5-TL-US [240V],1,LG Electronics Inc.,LG345N1C-V5,18,15032,708,6.21,4735,POINT (-74.150769 40.551772)
179251,,Queens,Queens,NY,11433,Residential,Consolidated Edison,Lease,03/27/2019,04/24/2019,Complete,SunRun Inc.,Enphase Energy Inc.,IQ6PLUS-72-x-US [208V],10,LG Electronics Inc.,LG335N1C-A5,10,13012.16,714,3.35,3212,POINT (-73.787795 40.697789)
280363,,JAMAICA,Queens,NY,11412,Residential,Consolidated Edison,Power Purchase Agreement,01/12/2021,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],16,LG Electronics Inc.,LG350N1C-V5,16,19432,728,5.6,4902,POINT (-73.759234 40.698064)
38347,5173-70089,bellmore,Nassau,NY,11710,Residential,Long Island Power Authority,Lease,07/29/2015,10/07/2015,Complete,SunRun Inc.,Power-One,PVI-4.2-OUTD-S-US-A (240V),1,LG Electronics Solar Cell Division,LG305N1C-B3,12,13190,732,3.66,4198,POINT (-73.534468 40.677262)
226788,,Queens Village,Queens,NY,11428,Residential,Consolidated Edison,Lease,12/18/2019,03/03/2020,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7-60-x-US [240V],11,LG Electronics Inc.,LG330N1C-A5,11,9314,741,3.63,3334,POINT (-73.742105 40.721391)
161960,,Peekskill,Westchester,NY,10566,Residential,Consolidated Edison,Lease,11/10/2018,01/16/2019,Complete,SunRun Inc.,SMA America,SB3.0-1SP-US-40 [240V],1,REC Solar,REC290TP2 BLK,12,10561,752,3.48,3123,POINT (-73.917154 41.289818)
21699,5098-55887,Wyandanch,Suffolk,NY,11798,Residential,Long Island Power Authority,Lease,12/31/2014,05/12/2015,Complete,NRG Residential Solar Solutions,Enphase Energy,M215-60-2LL-S2X-IG-NA,14,Trina Solar,TSM-250PA05.08,14,19584,777,3.5,3580,POINT (-73.365346 40.752907)
242857,,The Bronx,Bronx,NY,10472,Residential,Consolidated Edison,Lease,04/01/2020,,Pipeline,,SunPower,SPR-E20-327-E-AC [240V],13,Sunpower,SPR-E20-327-E-AC,13,27830.16,850,4.25,4108,POINT (-73.869836 40.829533)
180168,,QUEENS,Queens,NY,11422,Residential,Consolidated Edison,Lease,03/28/2019,05/08/2019,Complete,SunRun Inc.,Enphase Energy Inc.,IQ6-60-x-US [208V],10,Hanwha Q Cells,Q.PEAK BLK-G4.1 295,10,11634.8,885,2.95,3386,POINT (-73.73468 40.663668)
254567,,Queens,Queens,NY,11421,Residential,Consolidated Edison,Purchase,08/14/2020,09/30/2020,Complete,Kamtech Restoration Corp,SunPower,SPR-E20-327-E-AC [208V],14,Sunpower,SPR-E20-327-E-AC,14,35250,916,4.58,5688,POINT (-73.856988 40.691687)
293095,,Ridgewood,Queens,NY,11385,Residential,Consolidated Edison,Purchase,02/25/2021,,Pipeline,,SMA America,SB5.0-1SP-US-40 [208V],1,LG Electronics Inc.,LG360Q1C-V5,13,30917.84,936,4.68,5444,POINT (-73.887118 40.702695)
203374,,Flushing,Queens,NY,11362,Residential,Consolidated Edison,Lease,07/24/2019,09/04/2019,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE5000H-US [240V],1,LG Electronics Inc.,LG360Q1C-A5,14,12572,953,5.04,4308,POINT (-73.733367 40.759952)
287281,,Brooklyn,Kings,NY,11233,Residential,Consolidated Edison,Purchase,01/23/2021,,Pipeline,,SMA America,SB5.0-1SP-US-40 [208V],1,LG Electronics Inc.,LG375Q1C-V5,13,34979,975,4.88,4739,POINT (-73.919096 40.67783)
173520,,Bronx,Bronx,NY,10473,Residential,Consolidated Edison,Lease,02/05/2019,05/06/2019,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE5000H-US [240V],1,REC Solar,REC290TP2 BLK,16,14351,988,4.64,4476,POINT (-73.856919 40.819283)
58146,4708-79705,Woodstock,Ulster,NY,12498,Residential,Central Hudson Gas and Electric,Purchase,11/02/2015,03/07/2016,Complete,"Lotus Energy, Inc.",SMA America,SB3000TL-US-22 (240V),1,SunPower,SPR-320E-WHT-D,10,13628,992,3.2,2592,POINT (-74.109597 42.038305)
220001,,Bronx,Bronx,NY,10469,Residential,Consolidated Edison,Lease,12/21/2019,01/22/2020,Complete,SunPower Capital LLC,SunPower,SPR-X22-370-E-AC [208V],9,Sunpower,SPR-X22-370-E-AC,9,14319,999,3.33,3418,POINT (-73.847397 40.86878)
82976,,Rensselaer,Rensselaer,NY,12144,Residential,National Grid,Lease,04/04/2017,05/10/2017,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.0-OUTD-S-US-Z-A (240V),1,Hanwha Q CELLS,Q.PEAK G4.1/SC 300,13,16614,1014,3.9,3387,POINT (-73.718904 42.635553)
46527,4704-98748,Gansevoort,Saratoga,NY,12831,Residential,National Grid,Lease,05/18/2016,08/05/2016,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.0-OUTD-S-US-Z-A (240V),1,Trina Solar,TSM-260PD05.18,10,12090,1040,2.6,2868,POINT (-73.693309 43.188019)
216870,,Staten Island,Richmond,NY,10305,Residential,Consolidated Edison,Purchase,11/02/2019,11/25/2019,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE3000H-US [240V],1,REC Solar,REC290TP2 BLK,12,15044,1044,3.48,4542,POINT (-74.074837 40.597982)
2011-157832-SLPR,,East Quogue,Suffolk,NY,11942,Residential,Long Island Power Authority,Purchase,04/27/2007,04/27/2007,Complete,,,,0,,,0,1000,1050,0.28,329,POINT (-72.586036 40.846389)
271774,,Germantown,Columbia,NY,12526,Residential,National Grid,Purchase,02/22/2021,,Pipeline,,Delta Electronics,M8-TL-US [240V],1,Tesla Inc.,SR60T1,102,32095.96,1106,5.96,3839,POINT (-73.861375 42.121936)
206757,,Queens,Queens,NY,11693,Residential,Consolidated Edison,Purchase,08/10/2019,11/22/2019,Complete,Venture Home Solar LLC,Enphase Energy Inc.,IQ7-60-x-US [240V],11,LG Electronics Inc.,LG335N1C-A5,11,14518.9,1106,3.69,4180,POINT (-73.816781 40.597575)
165428,,Jamaica,Queens,NY,11432,Residential,Consolidated Edison,Lease,12/07/2018,01/17/2019,Complete,SunRun Inc.,SMA America,SB5.0-1SP-US-40 [240V],1,LG Electronics Inc.,LG330N1C-A5,16,23881,1109,5.28,5005,POINT (-73.792888 40.715188)
62036,4944-92101,Bellmore,Nassau,NY,11710,Residential,Long Island Power Authority,Lease,03/03/2016,07/26/2016,Complete,SunRun Inc.,ABB,PVI-4.2-OUTD-S-US-A (240V),1,Canadian Solar,CS6P-265P,21,12170,1113,5.57,6738,POINT (-73.534468 40.677262)
2014-661298-Sola,,West Babylon,Suffolk,NY,11704,Residential,Long Island Power Authority,Lease,07/03/2014,11/18/2014,Complete,"solar Intergrated fund II, llc",SolarEdge,,1,Canadian S,,11,13750,1118.11,2.75,3228,POINT (-73.35823 40.718568)
65709,5137-101996,Goshen,Orange,NY,10924,Residential,Orange and Rockland Utilities,Lease,08/05/2016,11/16/2016,Complete,Sungevity Development LLC,ABB,PVI-3.0-OUTD-S-US-A (240V),1,Trina Solar,TSM-255PD05.05,11,9873.6,1122,2.81,3156,POINT (-74.343148 41.383219)
116488,,Brooklyn,Kings,NY,11212,Residential,Consolidated Edison,Lease,04/12/2018,07/26/2018,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE5000H-US [240V],1,LG Electronics Inc.,LG330N1C-A5,12,16424,1125,3.96,3797,POINT (-73.913254 40.661868)
238496,,queens,Queens,NY,11433,Residential,Consolidated Edison,Purchase,02/29/2020,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-ACM-US [240V],15,LG Electronics Inc.,LG375A1C-V5,15,25500,1125,5.63,6305,POINT (-73.787795 40.697789)
99604,,Queens,Queens,NY,11422,Residential,Consolidated Edison,Lease,09/28/2017,02/06/2018,Complete,SunPower Capital LLC,SunPower,SPR-X21-335-BLK-C-AC,11,SunPower,SPR-X21-335-BLK-C-AC,11,15845.5,1135,3.69,3832,POINT (-73.73468 40.663668)
293768,,Holmes,Putnam,NY,12531,Residential,NYS Electric and Gas,Purchase,02/26/2021,,Pipeline,,Delta Electronics,M8-TL-US [240V],1,Tesla Inc.,SR60T1,144,32411.16,1179,8.42,4501,POINT (-73.673101 41.527805)
99113,,Jamaica,Queens,NY,11419,Residential,Consolidated Edison,Lease,09/28/2017,11/21/2017,Complete,SunRun Inc.,ABB,PVI-3.0-OUTD-S-US-A (240V),1,LG Electronics,LG330N1C-A5,9,14582,1188,2.97,3690,POINT (-73.822985 40.689125)
287807,,Hollis,Queens,NY,11423,Residential,Consolidated Edison,Lease,01/29/2021,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],18,JA Solar,JAM60S10-340/MR,18,13182,1224,6.12,6244,POINT (-73.76856 40.716566)
39237,5170-95800-GJ,Saint James,Suffolk,NY,11780,Residential,Long Island Power Authority,Purchase,05/09/2016,10/20/2016,Complete,R & B Quality Electric,SMA America,SB4000TL-US-22 (240V),2,AU Optronics,PM250M01_275,32,39424,1232,8.8,6754,POINT (-73.164651 40.885427)
78650,,Staten Island,Richmond,NY,10314,Residential,Consolidated Edison,Lease,01/24/2017,04/12/2017,Complete,SunRun Inc.,ABB,PVI-3.0-OUTD-S-US-A (240V),1,LG Electronics,LG310N1C-G4,10,11843,1240,3.1,3963,POINT (-74.152798 40.604049)
260361,,Bronx,Bronx,NY,10460,Residential,Consolidated Edison,Lease,09/01/2020,10/23/2020,Complete,SunPower Capital LLC,SunPower,SPR-E20-327-E-AC [208V],19,Sunpower,SPR-E20-327-E-AC,19,31065,1243,6.21,7482,POINT (-73.879119 40.840806)
115543,,Hollis,Queens,NY,11423,Residential,Consolidated Edison,Lease,03/27/2018,04/11/2018,Complete,SunRun Inc.,ABB,PVI-3.0-OUTD-S-US-A (240V),1,REC Solar,REC285TP2 BLK,11,15557,1254,3.14,3556,POINT (-73.76856 40.716566)
270642,,Brooklyn,Kings,NY,11203,Residential,Consolidated Edison,Power Purchase Agreement,11/06/2020,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [208V],18,LG Electronics Inc.,LG350N1C-V5,18,24318,1260,6.3,6693,POINT (-73.933487 40.649707)
293305,,Bronx,Bronx,NY,10461,Residential,Consolidated Edison,Purchase,02/23/2021,,Pipeline,,SunPower,SPR-A400-G-AC [240V],16,Sunpower,SPR-A400-G-AC,16,22707.99,1280,6.4,6525,POINT (-73.840311 40.846823)
71585,,Queens,Queens,NY,11436,Residential,Consolidated Edison,Lease,10/14/2016,12/12/2016,Complete,SunRun Inc.,SolarEdge Technologies,SE5000 (240V) w/ -ER-US or A-US,1,LG Electronics,LG310N1C-G4,12,16262,1283,3.72,3519,POINT (-73.796836 40.675692)
255819,,munnsville,Madison,NY,13409,Residential,National Grid,Purchase,08/13/2020,12/04/2020,Complete,"PlugPV, LLC",SolarEdge Technologies Ltd.,SE3800H-US [240V],1,Hanwha Q CELLS,Q.PEAK DUO BLK-G5 320,12,21500,1344,3.84,4182,POINT (-75.591249 42.975757)
2014-645514-Sola,,Ronkonkoma,Suffolk,NY,11779,Residential,Long Island Power Authority,Lease,03/21/2014,10/07/2014,Complete,VIVINT SOLAR,Enphase En,,12,Trina Sola,,12,17503,1382.52,3.06,3592,POINT (-73.116858 40.815879)
2014-663368-Sola,,Bay Shore,Suffolk,NY,11706,Residential,Long Island Power Authority,Lease,07/21/2014,04/30/2015,Complete,VIVINT SOLAR,Enphase En,,12,Trina Sola,,12,16065,1384.95,3.06,3592,POINT (-73.255404 40.729218)
269234,,Brooklyn,Kings,NY,11208,Residential,Consolidated Edison,Purchase,11/05/2020,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-ACM-US [208V],19,LG Electronics Inc.,LG370Q1C-V5,19,59978,1406,7.03,7880,POINT (-73.872692 40.673742)
2014-664397-Sola,,Deer Park,Suffolk,NY,11729,Residential,Long Island Power Authority,Lease,08/01/2014,08/05/2015,Complete,VIVINT SOLAR,Enphase En,,17,Trina Sola,,17,22758,1419,4.34,5089,POINT (-73.326213 40.761014)
184561,,Grand Island,Erie,NY,14072,Residential,National Grid,Purchase,05/14/2019,06/19/2019,Complete,"Solcius, LLC",SolarEdge Technologies Ltd.,SE3800H-US [240V],1,SolarWorld Industries GmbH,Sunmodule Plus SW 290 mono black,14,17375,1421,4.06,3573,POINT (-78.961764 43.014559)
265746,,Brooklyn,Kings,NY,11236,Residential,Consolidated Edison,Purchase,10/09/2020,,Pipeline,,SunPower,SPR-X22-360-E-AC [208V],20,Sunpower,SPR-X22-360-E-AC,20,33057.39,1440,7.2,7838,POINT (-73.902635 40.640299)
2014-666147-Sola,,Lake Grove,Suffolk,NY,11755,Residential,Long Island Power Authority,Lease,08/12/2014,02/11/2015,Complete,"VISIGOTH SOLAR 1, LLC",SolarEdge,,1,Canadian S,,11,15400,1455.02,2.75,3228,POINT (-73.117204 40.857024)
272346,,Staten Island,Richmond,NY,10314,Residential,Consolidated Edison,Purchase,10/29/2020,,Pipeline,,SunPower,SPR-A415-G-AC [240V],26,Sunpower,SPR-A415-G-AC,26,41287.94,1489,10.79,10067,POINT (-74.152798 40.604049)
173138,,New York,Queens,NY,11357,Residential,Consolidated Edison,Lease,02/06/2019,04/02/2019,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE3800H-US [240V],2,REC Solar,REC290TP2 BLK,26,29697,1493,7.54,6774,POINT (-73.811044 40.785459)
104670,,Staten Island,Richmond,NY,10305,Residential,Consolidated Edison,Purchase,11/16/2017,02/27/2018,Complete,Venture Home Solar LLC,SunPower,SPR-X20-250-BLK-B-AC (240V),15,SunPower,SPR-X20-250-BLK-B-AC,15,16875,1500,3.75,4339,POINT (-74.074837 40.597982)
267700,,Brooklyn,Kings,NY,11235,Residential,Consolidated Edison,Lease,10/22/2020,,Pipeline,,SunPower,SPR-E20-327-E-AC [208V],23,Sunpower,SPR-E20-327-E-AC,23,33845,1504,7.52,7666,POINT (-73.950101 40.584205)
83726,,Queens,Queens,NY,11413,Residential,Consolidated Edison,Lease,04/13/2017,08/08/2017,Complete,SunRun Inc.,SolarEdge Technologies,SE5000 (240V),1,REC Solar,REC290TP2,13,15950.87,1508,3.77,4837,POINT (-73.750319 40.672267)
226131,,The Bronx,Bronx,NY,10473,Residential,Consolidated Edison,Purchase,12/11/2019,07/22/2020,Complete,SunPower Capital LLC,SunPower,SPR-X22-360-E-AC [240V],14,Sunpower,SPR-X22-360-E-AC,14,30124,1512,5.04,5656,POINT (-73.856919 40.819283)
106669,,Bronx,Bronx,NY,10465,Residential,Consolidated Edison,Lease,12/09/2017,03/19/2018,Complete,SunPower Capital LLC,SunPower,SPR-X21-345-D-AC (208V),11,SunPower,SPR-X21-345-D-AC,11,16280.55,1518,3.8,4414,POINT (-73.820974 40.825915)
2014-663454-Sola,,Amityville,Suffolk,NY,11701,Residential,Long Island Power Authority,Lease,07/22/2014,05/07/2015,Complete,VIVINT SOLAR,Enphase En,,18,Trina Sola,,18,24907,1540.86,4.59,5388,POINT (-73.414186 40.686478)
2014-661021-Sola,,Dix Hills,Suffolk,NY,11746,Residential,Long Island Power Authority,Lease,06/30/2014,03/20/2015,Complete,VIVINT SOLAR,Enphase En,,15,Trina Sola,,15,20081,1559.76,3.83,4490,POINT (-73.364729 40.815715)
60567,4704-83710,Walden,Orange,NY,12586,Residential,NYS Electric and Gas,Power Purchase Agreement,12/11/2015,02/16/2016,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.0-OUTD-S-US-Z-A (240V),1,Trina Solar,TSM-260PD05.18,12,17472,1560,3.12,3811,POINT (-74.174903 41.563126)
273843,,Brooklyn,Kings,NY,11221,Residential,Consolidated Edison,Purchase,11/03/2020,,Pipeline,,SunPower,SPR-E20-327-E-AC [208V],24,Sunpower,SPR-E20-327-E-AC,24,64354,1570,7.85,9462,POINT (-73.92753 40.691501)
2014-644770-Sola,,Lindenhurst,Suffolk,NY,11757,Residential,Long Island Power Authority,Lease,03/11/2014,09/09/2014,Complete,VIVINT SOLAR,Enphase En,,15,Trina Sola,,15,21879,1571.79,3.75,4402,POINT (-73.374734 40.690158)
2014-644746-Sola,,Kings Park,Suffolk,NY,11754,Residential,Long Island Power Authority,Lease,03/10/2014,10/08/2014,Complete,VIVINT SOLAR,Enphase En,,17,Trina Sola,,17,23823,1599.63,4.34,5089,POINT (-73.24573 40.885947)
70334,,Queens,Queens,NY,11423,Residential,Consolidated Edison,Lease,01/20/2017,04/18/2017,Complete,SunRun Inc.,ABB,PVI-3.6-OUTD-S-US-A (240V),1,LG Electronics,LG310N1C-G4,13,16044,1612,4.03,5101,POINT (-73.76856 40.716566)
149397,,Staten Island,Richmond,NY,10312,Residential,Consolidated Edison,Lease,08/22/2018,09/11/2018,Complete,SunRun Inc.,SMA America,SB7.0-1SP-US-40 [240V],1,LG Electronics Inc.,LG330N1C-A5,25,28060,1634,8.25,7349,POINT (-74.178263 40.542961)
39016,5173-80012,East Northport,Suffolk,NY,11731,Residential,Long Island Power Authority,Lease,11/05/2015,02/24/2016,Complete,SunRun Inc.,Power-One,PVI-3.0-OUTD-S-US-A (240V),2,LG Electronics Solar Cell Division,LG315N1C-G4,26,28588,1638,8.19,10111,POINT (-73.317892 40.864834)
2014-658678-Sola,,Bay Shore,Suffolk,NY,11706,Residential,Long Island Power Authority,Lease,06/16/2014,03/17/2015,Complete,VIVINT SOLAR,Enphase En,,15,Trina Sola,,15,20081,1669.9,3.83,4490,POINT (-73.255404 40.729218)
2014-655033-Sola,,Lindenhurst,Suffolk,NY,11757,Residential,Long Island Power Authority,Purchase,05/24/2014,04/01/2015,Complete,LEVEL SOLAR,SolarEdge,,2,Canadian S,,13,16250,1685.62,3.25,3815,POINT (-73.374734 40.690158)
135791,,Queens,Queens,NY,11420,Residential,Consolidated Edison,Lease,07/24/2018,09/17/2018,Complete,SunRun Inc.,Enphase Energy Inc.,IQ6-60-x-US [240V],29,REC Solar,REC290TP BLK,29,26432.63,1690,8.41,7633,POINT (-73.815675 40.673382)
79230,,Staten Island,Richmond,NY,10314,Residential,Consolidated Edison,Purchase,01/26/2017,04/24/2017,Complete,Venture Home Solar LLC,SunPower,SPR-E20-327-C-AC,13,SunPower,SPR-E20-327-C-AC,13,26568.75,1700,4.25,4976,POINT (-74.152798 40.604049)
160254,,Brooklyn,Kings,NY,11209,Residential,Consolidated Edison,Purchase,10/30/2018,05/08/2019,Complete,EmPower Solar,SunPower,SPR-X22-360-C-AC [208V],20,Sunpower,SPR-X22-360-C-AC,20,36907.91,1706,7.2,7653,POINT (-74.030555 40.623133)
186613,,Queens,Queens,NY,11414,Residential,Consolidated Edison,Purchase,05/22/2019,06/18/2019,Complete,SunRun Inc.,SMA America,SB5.0-1SP-US-40 [240V],1,REC Solar,REC290TP2 BLK,20,25540,1740,5.8,7519,POINT (-73.843702 40.660032)
156199,,Middletown,Rockland,NY,10941,Residential,Orange and Rockland Utilities,Lease,02/05/2019,04/04/2019,Complete,SunPower Capital LLC,SunPower,SPR-X22-360-C-AC [240V],14,Sunpower,SPR-X22-360-C-AC,14,26638,1764,5.04,5431,POINT (-74.354005 41.485086)
220814,,Staten Island,Richmond,NY,10303,Residential,Consolidated Edison,Lease,11/15/2019,01/24/2020,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE7600H-US [240V],1,REC Solar,REC290TP2 BLK,31,23540.99,1780,8.99,7972,POINT (-74.162953 40.629735)
167360,,Ridgewood,Queens,NY,11385,Residential,Consolidated Edison,Purchase,12/27/2018,04/29/2019,Complete,EmPower Solar,SunPower,SPR-X22-360-C-AC [208V],24,Sunpower,SPR-X22-360-C-AC,24,37937.3,1840,8.64,8395,POINT (-73.887118 40.702695)
107835,,Queens,Queens,NY,11436,Residential,Consolidated Edison,Lease,12/14/2017,01/09/2018,Complete,SunRun Inc.,ABB,PVI-3.6-OUTD-S-US-A (240V),1,LG Electronics,LG330N1C-A5,14,20782,1848,4.62,5232,POINT (-73.796836 40.675692)
283979,,Cochecton,Sullivan,NY,12726,Residential,NYS Electric and Gas,Purchase,02/09/2021,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-ACM-US [240V],16,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 335,16,13100,1876,5.36,5355,POINT (-74.979973 41.695681)
93159,,West Berne,Albany,NY,12023,Residential,National Grid,Purchase,07/15/2017,11/02/2017,Complete,Hudson Solar,SunPower,SPR-E20-327-C-AC,20,SunPower,SPR-E20-327-C-AC,20,22628,1884,6.54,6276,POINT (-74.162659 42.607815)
104144,,Queens,Queens,NY,11414,Residential,Consolidated Edison,Purchase,11/10/2017,01/22/2018,Complete,Venture Home Solar LLC,SunPower,SPR-X21-345-C-AC (208V),19,SunPower,SPR-X21-345-C-AC,19,33102.75,1888,6.56,6388,POINT (-73.843702 40.660032)
2013-636599-Sola,,Huntington Station,Suffolk,NY,11746,Residential,Long Island Power Authority,Lease,12/23/2013,05/31/2014,Complete,VIVINT SOLAR,Enphase En,,16,Trina Sola,,16,23920,1891.63,4,4695,POINT (-73.364729 40.815715)
2013-539061-Sola,,North Babylon,Suffolk,NY,11703,Residential,Long Island Power Authority,Lease,08/14/2013,03/27/2014,Complete,SOLARCITY CORPORATION,SolarEdge,,1,Yingli Ene,,15,18375,1908.47,3.68,4314,POINT (-73.323802 40.733915)
153288,,Staten Island,Richmond,NY,10309,Residential,Consolidated Edison,Lease,09/05/2018,10/03/2018,Complete,SunPower Capital LLC,SunPower,SPR-X22-360-D-AC [240V],24,Sunpower,SPR-X22-360-D-AC,24,45016.89,1918,8.64,8651,POINT (-74.215396 40.532063)
72143,,Queens,Queens,NY,11413,Residential,Consolidated Edison,Lease,10/26/2016,02/10/2017,Complete,SunRun Inc.,ABB,PVI-4.2-OUTD-S-US-A (240V),1,LG Electronics,LG310N1C-G4,17,18956,1950,5.27,5366,POINT (-73.750319 40.672267)
