Project Number,Legacy Project Number,City,County,State,Zip Code,Sector,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production,Georeference
238062,,Brooklyn,Kings,NY,11229,Residential,Consolidated Edison,Power Purchase Agreement,03/03/2020,,Pipeline,,Enphase Energy Inc.,IQ7-60-x-US [208V],8,LG Electronics Inc.,LG350N1C-V5,8,9889.2,560,2.8,2761,POINT (-73.943351 40.600494)
265471,,Jamaica,Queens,NY,11417,Residential,Consolidated Edison,Power Purchase Agreement,10/03/2020,11/18/2020,Complete,"IGS Solar, LLC",Enphase Energy Inc.,IQ7PLUS-72-x-US [208V],11,LG Electronics Inc.,LG350N1C-V5,11,13860,770,3.85,4003,POINT (-73.844504 40.676341)
249749,,Brooklyn,Kings,NY,11203,Residential,Consolidated Edison,Lease,07/24/2020,09/30/2020,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7-60-x-US [240V],22,LG Electronics Inc.,LG330N1C-A5,22,15772,958,7.26,6698,POINT (-73.933487 40.649707)
36247,4704-66697,Babylon,Suffolk,NY,11702,Residential,Long Island Power Authority,Power Purchase Agreement,06/11/2015,08/18/2015,Complete,Tesla Energy Operations Inc.,SolarEdge Technologies,SE6000 (240V) w/ -ER-US or A-US,1,Trina Solar,TSM-255PD05.18,25,35728,944,6.38,6586,POINT (-73.380416 40.653301)
254156,,Valley Stream,Nassau,NY,11581,Residential,Long Island Power Authority,Purchase,07/13/2020,10/05/2020,Complete,Kamtech Restoration Corp,SunPower,SPR-E20-327-E-AC [240V],30,Sunpower,SPR-E20-327-E-AC,30,24850,,9.81,12144,POINT (-73.712183 40.652939)
56222,4704-70031,Central Islip,Suffolk,NY,11722,Residential,Long Island Power Authority,Power Purchase Agreement,07/29/2015,03/21/2016,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.6-OUTD-S-US-Z-A (240V),1,Canadian Solar,CS6P-250PX,14,19600,700,3.5,4544,POINT (-73.198651 40.783771)
204805,,Saint Albans,Queens,NY,11412,Residential,Consolidated Edison,Power Purchase Agreement,07/30/2019,11/20/2019,Complete,"IGS Solar, LLC",Enphase Energy Inc.,IQ7-60-x-US [208V],10,Hanwha Q CELLS,Q.PEAK DUO BLK-G5 315,10,11781,945,3.15,4126,POINT (-73.759234 40.698064)
293321,,Queens,Queens,NY,11361,Residential,Consolidated Edison,Lease,02/23/2021,,Pipeline,,SolarEdge Technologies Ltd.,SE5000H-US [240V],1,"LONGi Green Energy Technology Co., Ltd.",LR6-60HPH-320M,18,16416,760,5.76,5163,POINT (-73.7738 40.76347)
50397,4355-90874,East Meadow,Nassau,NY,11554,Residential,Long Island Power Authority,Purchase,02/18/2016,09/29/2016,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies,SE3800 (240V) w/ -ER-US or A-US,1,LG Electronics Solar Cell Division,LG360N2W-B3,13,23166,936,4.68,5445,POINT (-73.556907 40.716032)
39150,5098-79200,West Babylon,Suffolk,NY,11704,Residential,Long Island Power Authority,Lease,10/29/2015,05/11/2016,Complete,NRG Residential Solar Solutions,Enphase Energy,M250-60-2LL-S2X (-ZC) (-NA) (240V),18,LG Electronics Solar Cell Division,LG275S1C-B3,18,16830,990,4.95,6161,POINT (-73.35823 40.718568)
